CHR	P0	P1	PHEN	GWAS	TWAS
1	84927788	87122166	RBC	NA	1
2	10101670	11619583	RBC	NA	1
2	67755059	69116735	RBC	NA	1
3	18844666	20047208	RBC	NA	1
5	8494854	11171605	RBC	NA	1
6	147161513	149933141	RBC	NA	1
7	2891307	3614282	RBC	NA	1
8	140092934	141600271	RBC	NA	1
13	27053059	28317350	RBC	NA	1
14	60317812	63296633	RBC	NA	1
17	78603548	81358182	RBC	NA	1
19	11415921	12389673	RBC	NA	1
19	35450375	37070917	RBC	NA	1
1	17170754	20109515	RDW	NA	1
1	226339236	229233485	RDW	NA	1
4	83085372	86009110	RDW	NA	1
4	99415218	99757394	RDW	NA	1
4	185103843	186667586	RDW	NA	1
6	86940334	87947225	RDW	NA	1
11	7597312	8717944	RDW	NA	1
12	104453119	105856472	RDW	NA	1
19	80840	759545	RDW	NA	1
7	2891307	3614282	WBC	NA	1
10	129447260	131346389	WBC	NA	1
11	7597312	8717944	WBC	NA	1
12	32925788	37463042	WBC	NA	1
14	77634879	79720317	WBC	NA	1
3	132116793	133991494	PLT	NA	1
4	99415218	99757394	PLT	NA	1
6	52879943	53542405	PLT	NA	1
7	2891307	3614282	PLT	NA	1
8	93291867	95192970	PLT	NA	1
10	65790181	68136895	PLT	NA	1
2	156704002	159348421	MPV	NA	1
3	186204368	188897888	MPV	NA	1
4	45187702	47496218	MPV	NA	1
5	64671328	66240605	MPV	NA	1
9	126717270	129322797	MPV	NA	1
15	57472659	59846871	MPV	NA	1
17	150263	1163453	MPV	NA	1
4	16576874	18750386	LYM	NA	1
4	112300363	114376991	LYM	NA	1
5	8494854	11171605	LYM	NA	1
10	122600595	123865009	LYM	NA	1
15	98329467	100056626	LYM	NA	1
16	12682441	15926520	LYM	NA	1
16	17971630	19693871	LYM	NA	1
21	37882887	40429468	LYM	NA	1
2	156704002	159348421	NEU	NA	1
7	2891307	3614282	NEU	NA	1
9	119020547	121609816	NEU	NA	1
11	7597312	8717944	NEU	NA	1
18	63987229	65443903	NEU	NA	1
20	31936457	35150770	NEU	NA	1
1	201555661	203398648	MON	NA	1
1	226339236	229233485	MON	NA	1
3	97641862	98497231	MON	NA	1
7	2891307	3614282	MON	NA	1
11	7597312	8717944	MON	NA	1
12	7842401	10219776	MON	NA	1
12	32925788	37463042	MON	NA	1
12	106565509	108311677	MON	NA	1
14	86869187	89432163	MON	NA	1
19	21857340	22551744	MON	NA	1
19	22551744	28429411	MON	NA	1
19	28429411	30235494	MON	NA	1
20	44431497	46805476	MON	NA	1
9	97550436	101791107	BAS	NA	1
11	7597312	8717944	BAS	NA	1
11	75176317	78017239	BAS	NA	1
4	86009110	87578112	EOS	NA	1
10	121378246	122600595	EOS	NA	1
11	7597312	8717944	EOS	NA	1
14	77634879	79720317	EOS	NA	1
17	28548124	31459361	EOS	NA	1
22	21513100	22945183	EOS	NA	1
1	36206464	38266469	HGB	NA	1
2	8417006	10101670	HGB	NA	1
4	1476986	3543180	HGB	NA	1
5	138651723	141958824	HGB	NA	1
6	52879943	53542405	HGB	NA	1
7	2891307	3614282	HGB	NA	1
9	103085273	104785969	HGB	NA	1
19	80840	759545	HGB	NA	1
6	52879943	53542405	HCT	NA	1
7	2891307	3614282	HCT	NA	1
9	103085273	104785969	HCT	NA	1
11	67072204	69043369	HCT	NA	1
19	80840	759545	HCT	NA	1
2	196203830	197680526	MCV	NA	1
3	45778345	47384240	MCV	NA	1
4	96991364	99415218	MCV	NA	1
4	99415218	99757394	MCV	NA	1
5	11940	982158	MCV	NA	1
6	77456403	79427797	MCV	NA	1
10	15901476	18010436	MCV	NA	1
16	50255268	53763145	MCV	NA	1
19	11415921	12389673	MCV	NA	1
1	154721871	156857804	MCH	NA	1
2	91589275	99584522	MCH	NA	1
3	43153774	45778345	MCH	NA	1
3	45778345	47384240	MCH	NA	1
4	99415218	99757394	MCH	NA	1
5	8494854	11171605	MCH	NA	1
9	121609816	124089125	MCH	NA	1
15	33016680	35153929	MCH	NA	1
16	50255268	53763145	MCH	NA	1
17	4726055	5782151	MCH	NA	1
1	11716602	12628470	MCHC	NA	1
2	99584522	102072238	MCHC	NA	1
3	170443719	172042637	MCHC	NA	1
4	119012479	119358981	MCHC	NA	1
9	34195574	36820674	MCHC	NA	1
17	5782151	7334867	MCHC	NA	1
19	40639992	43359606	MCHC	NA	1
